name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor40E-16M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.838,3.838,46.444,,,-,-,-,-,-,0.000,100.615,74.715,0.891,7.454,0.100,-0.6699,-0.4559,28.5,-,0.000,76.481,19.356,7.217,0.159,0.008,-0.0282,-0.8959,13.8,7.7,-0.518,-0.386,-0.067,-0.067,13.30,3163.49,0.42%,-0.4570,3.1562,0.3262,0.7305,2.4375,19.6250,314.0,4904.7
wor40E-16M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.845,3.845,46.779,,,-,-,-,-,-,nan,1799.829,571.865,0.891,85.835,0.150,-0.7087,-0.0195,48.2,-,0.000,245.394,86.708,36.036,0.043,0.000,-0.0394,-2.1669,14.1,7.5,0.219,0.202,0.213,0.232,53.20,8491.20,0.63%,-0.0198,3.0312,0.0596,0.6680,2.3125,18.6250,326.0,4900.1
wor40R-16M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.881,3.881,48.483,,,-,-,-,-,-,0.865,3.712,2.836,0.891,0.145,0.051,0.1305,0.0000,5.1,-,0.662,4.170,1.173,0.398,0.000,0.000,0.0090,0.0243,10.2,9.0,-0.086,-0.140,0.456,0.391,1.97,201.37,0.98%,0.0000,2.8125,0.0002,0.2988,2.2031,15.7500,298.0,4905.7
wor40R-16M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.842,3.842,46.598,,,-,-,-,-,-,0.007,33.749,26.140,0.891,2.526,0.097,0.0691,0.0000,8.2,-,0.000,27.298,8.467,3.041,0.000,0.000,-0.0376,-0.8472,13.6,14.4,-0.059,-0.164,0.197,0.145,8.41,1128.22,0.75%,0.0003,3.5156,0.0003,0.5352,2.7344,20.0000,340.0,4896.1
wor40R-16M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.844,3.844,46.725,,,-,-,-,-,-,0.000,382.994,216.532,0.891,33.397,0.154,-0.3247,-0.0000,44.9,-,0.000,182.792,63.898,19.952,0.000,0.000,-0.0083,-0.3225,15.6,12.7,-0.049,-0.193,-0.250,-0.221,48.86,11108.76,0.44%,-0.0001,3.9844,0.0005,0.6836,3.1094,21.7500,366.0,4901.7
wor40R-16M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.962,3.962,52.570,,,-,-,-,-,-,0.958,1.573,1.288,0.779,0.048,0.038,-0.0838,-0.0000,5.6,-,0.878,2.988,0.677,0.263,0.000,0.000,-0.0752,-0.0684,9.7,4.7,0.129,0.004,-0.748,-0.712,1.81,111.48,1.62%,0.0000,2.5938,0.0001,0.1992,2.0156,15.3750,284.0,4909.4
wor40R-16M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.850,3.850,46.986,,,-,-,-,-,-,0.748,10.234,7.948,0.891,0.389,0.049,-0.0193,-0.0000,1.6,-,0.117,10.760,3.074,1.122,0.000,0.000,0.1762,0.7783,8.7,6.8,-0.133,-0.244,0.737,0.694,4.16,479.24,0.87%,0.0002,3.1875,0.0003,0.3730,2.5000,17.0000,318.0,4895.3
wor40R-16M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.843,3.843,46.672,,,-,-,-,-,-,0.000,97.756,71.858,0.891,7.429,0.103,0.0624,0.0000,27.0,-,0.000,74.391,26.040,9.361,0.000,0.000,-0.0158,-0.4482,10.0,8.1,-0.062,-0.190,0.717,0.694,16.90,4025.11,0.42%,0.0005,3.6875,0.0005,0.6484,2.8750,19.0000,360.0,4898.4
wor40R-16M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.842,3.842,46.612,,,-,-,-,-,-,nan,1976.636,575.978,0.891,79.676,0.138,-0.3752,-0.0000,42.9,-,0.000,522.906,168.351,59.314,0.000,0.000,-0.0103,-0.4309,13.7,11.3,0.069,-0.039,0.597,0.565,102.35,31521.08,0.32%,0.0002,3.4062,0.0010,0.9609,2.6562,17.8750,360.0,4907.6
wor40Z-16M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.878,3.878,48.349,,,-,-,-,-,-,0.878,3.468,2.836,0.891,0.148,0.052,-0.1706,-14.3073,12.1,-,0.039,5.662,3.094,1.021,2.967,0.959,-0.0819,-0.3419,16.7,-7.7,-0.690,-0.685,-0.709,-0.689,1.94,683.33,0.28%,-14.3125,3.0938,3.9219,0.3613,14.3125,29.1250,17.0,5185.6
wor40Z-16M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.836,3.836,46.343,,,-,-,-,-,-,0.023,32.612,26.133,0.891,2.465,0.094,-0.0634,-15.6689,-0.6,-,0.000,45.146,26.094,8.886,24.368,0.934,-0.0104,-0.2606,22.3,-0.7,-0.666,-0.676,-0.646,-0.631,6.85,5580.54,0.12%,-15.6875,3.6562,4.5000,0.5938,15.6875,34.2500,15.2,5176.1
wor40Z-16M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.854,3.854,47.176,,,-,-,-,-,-,0.000,339.051,223.376,0.891,30.158,0.135,-0.0092,-18.7609,48.4,-,0.000,446.828,277.878,167.071,272.040,0.979,0.0247,5.5562,20.0,-11.2,-0.550,-0.513,-0.564,-0.514,26.20,61882.54,0.04%,-18.8750,4.8438,5.3438,2.3281,18.8750,46.2500,14.8,5182.5
wor40Z-16M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.961,3.961,52.524,,,-,-,-,-,-,0.958,1.571,1.288,0.827,0.050,0.039,-0.3124,-13.2920,6.6,-,0.201,3.064,1.746,0.600,1.647,0.943,0.0768,0.0989,10.2,-3.9,-0.651,-0.598,-0.686,-0.608,1.78,382.13,0.47%,-13.3125,2.9688,3.9688,0.3223,13.3125,26.8750,24.6,5184.7
wor40Z-16M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.848,3.848,46.923,,,-,-,-,-,-,0.696,10.169,7.958,0.891,0.451,0.057,-0.1257,-14.9826,11.1,-,0.000,14.964,7.767,2.964,7.040,0.906,-0.0685,-0.5233,5.7,-0.2,-0.649,-0.665,-0.616,-0.615,3.49,1634.26,0.21%,-15.0000,3.6250,4.2500,0.4863,15.0000,33.5000,18.4,5177.2
wor40Z-16M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.841,3.841,46.560,,,-,-,-,-,-,0.000,104.626,73.290,0.891,7.242,0.099,-0.0450,-16.6759,26.8,-,0.000,144.809,82.057,27.775,78.836,0.961,0.1234,4.2004,18.2,-1.4,-0.622,-0.614,-0.621,-0.602,18.24,18080.36,0.10%,-16.7500,3.9375,4.4062,0.6836,16.7500,37.2500,14.0,5191.1
wor40Z-16M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.955,3.955,52.173,,,-,-,-,-,-,nan,2026.407,602.672,0.891,87.123,0.145,-0.0055,-17.7191,46.5,-,0.000,1217.672,851.008,481.307,841.050,0.988,0.0871,28.8308,27.4,-7.7,-0.577,-0.556,-0.583,-0.558,44.47,190778.09,0.02%,-17.8750,4.0938,4.8438,1.6641,17.8750,38.7500,12.9,5178.6
wor60A-29M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.614,3.614,37.131,,,-,-,-,-,-,0.958,3.832,3.284,0.885,0.085,0.026,-0.0226,-1.1187,1.5,-,0.090,5.083,2.561,0.997,2.137,0.835,0.0094,0.0186,8.2,2.8,-0.719,-0.738,-0.751,-0.701,2.13,504.18,0.42%,-1.1172,2.8594,5.0312,0.3340,4.6875,18.8750,298.0,7696.2
wor60A-29M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.592,3.592,36.293,,,-,-,-,-,-,0.003,38.324,30.590,0.885,2.909,0.095,0.0686,17.3337,23.4,-,0.000,44.252,22.442,9.375,19.942,0.889,-0.0407,-1.5008,10.1,2.2,-0.662,-0.649,-0.694,-0.634,6.25,4701.56,0.13%,17.3750,3.4219,12.6250,0.5039,18.6250,35.5000,1440.0,7685.4
wor60A-29M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,4.298,4.298,73.586,,,-,-,-,-,-,0.000,800.633,257.087,0.885,29.371,0.114,0.4114,891.6216,45.9,-,0.000,311.344,213.186,167.242,192.094,0.901,0.0562,18.6119,25.8,1.6,-0.475,-0.505,-0.601,-0.553,112.79,43457.97,0.26%,892.0000,6.7500,167.0000,2.4219,892.0000,912.0000,864256.0,7669.8
wor60A-29M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.688,3.688,39.960,,,-,-,-,-,-,0.972,1.588,1.386,0.885,0.033,0.024,-0.1216,-4.1993,5.0,-,0.286,2.732,1.491,0.531,1.331,0.892,0.0536,0.0457,6.9,-3.0,-0.690,-0.691,-0.736,-0.685,1.51,314.01,0.48%,-4.1875,2.4844,5.8750,0.1904,6.3438,17.7500,202.0,7695.6
wor60A-29M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.591,3.591,36.262,,,-,-,-,-,-,0.408,11.153,9.389,0.885,0.624,0.066,0.0714,6.3660,3.4,-,0.013,11.889,6.698,2.683,5.885,0.879,-0.0580,-0.5487,9.9,5.7,-0.671,-0.664,-0.732,-0.673,3.49,1378.89,0.25%,6.3750,2.9688,11.9375,0.3691,11.3125,26.8750,724.0,7663.2
wor60A-29M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.596,3.596,36.468,,,-,-,-,-,-,0.000,147.382,80.556,0.885,9.338,0.116,0.2439,89.3324,42.1,-,0.000,126.587,71.594,37.340,63.188,0.883,0.0405,2.1900,17.0,5.6,-0.464,-0.475,-0.437,-0.428,31.54,14752.25,0.21%,89.5000,3.7969,33.7500,0.7930,89.5000,107.5000,12864.0,7679.2
wor60A-29M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,5.107,5.107,165.194,,,-,-,-,-,-,nan,3005.457,621.862,0.885,71.680,0.115,0.5792,1354.6710,53.2,-,0.000,679.004,386.949,289.364,321.511,0.831,0.0880,45.9089,17.6,0.7,-0.400,-0.416,-0.611,-0.588,130.73,73487.28,0.18%,1352.0000,5.4688,398.0000,1.9375,1352.0000,1376.0000,2056192.0,7653.2
wor60E-29M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.613,3.613,37.082,,,-,-,-,-,-,0.950,3.922,3.283,0.885,0.084,0.025,-0.4438,-4.7362,-4.7,-,0.000,27.568,2.061,0.645,0.397,0.193,0.0418,0.0939,12.3,4.3,-0.499,-0.345,0.349,-0.239,2.33,848.58,0.27%,-4.7500,2.5156,3.6094,0.2871,5.4688,16.7500,172.0,7703.5
wor60E-29M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.588,3.588,36.165,,,-,-,-,-,-,0.003,38.921,30.583,0.885,2.834,0.093,0.0898,0.2198,25.4,-,0.000,90.376,11.649,4.093,0.291,0.025,0.0393,0.9382,20.8,9.4,-0.481,-0.283,-0.407,-0.175,3.62,2997.23,0.12%,0.2197,2.6719,4.5000,0.4316,4.2500,19.1250,344.0,7702.4
wor60E-29M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.591,3.591,36.272,,,-,-,-,-,-,0.000,881.280,250.620,0.885,37.233,0.149,-0.8945,-0.3640,42.3,-,0.000,185.475,76.866,35.504,0.144,0.002,0.0094,0.9839,21.5,19.1,-0.430,-0.251,-0.375,-0.343,43.68,10669.42,0.41%,-0.3633,2.9219,0.3926,0.9258,2.3125,17.1250,332.0,7709.9
wor60E-29M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.687,3.687,39.944,,,-,-,-,-,-,0.973,1.605,1.386,0.885,0.033,0.024,-0.4158,-5.0862,2.2,-,0.000,18.488,1.323,0.433,0.399,0.302,-0.0059,-0.0060,8.6,-8.2,-0.493,-0.338,0.338,-0.184,1.61,565.19,0.28%,-5.0938,2.3906,4.4688,0.2793,6.1562,17.2500,163.0,7716.5
wor60E-29M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.586,3.586,36.101,,,-,-,-,-,-,0.365,11.141,9.392,0.885,0.627,0.067,-0.7061,-7.6281,22.1,-,0.226,25.273,3.293,1.297,0.494,0.150,0.0300,0.4110,25.3,19.4,-0.491,-0.310,-0.280,-0.201,3.66,767.10,0.48%,-7.6250,2.7969,4.5000,0.3691,7.9688,21.1250,127.5,7703.8
wor60E-29M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.578,3.578,35.815,,,-,-,-,-,-,0.000,122.641,87.123,0.885,10.137,0.116,-0.8843,-0.8330,41.4,-,0.000,101.366,27.292,10.529,0.197,0.007,-0.0854,-4.1366,21.9,18.2,-0.524,-0.405,-0.200,-0.087,18.40,4447.73,0.41%,-0.8359,2.9844,0.5117,0.6523,2.4531,17.2500,306.0,7761.8
wor60E-29M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.604,3.604,36.741,,,-,-,-,-,-,nan,2966.020,622.517,0.885,67.995,0.109,-0.6176,-0.0075,50.0,-,0.000,363.573,152.678,79.016,0.030,0.000,0.0144,0.3954,23.6,19.2,0.066,0.017,0.208,0.219,76.82,12426.46,0.62%,-0.0077,2.8906,0.0359,1.9688,2.2031,18.1250,400.0,7684.6
wor60R-29M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.613,3.613,37.089,,,-,-,-,-,-,0.956,3.801,3.284,0.885,0.083,0.025,-0.1116,-0.0000,-5.5,-,0.529,4.772,1.496,0.575,0.000,0.000,-0.0531,-0.0829,10.6,7.9,-0.130,-0.190,-0.374,-0.305,1.94,229.35,0.85%,0.0000,2.8281,0.0001,0.3145,2.2031,16.1250,308.0,7725.5
wor60R-29M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.587,3.587,36.141,,,-,-,-,-,-,0.004,38.301,30.578,0.885,2.916,0.095,-0.0103,-0.0000,24.4,-,0.000,35.902,12.373,5.039,0.000,0.000,0.0001,0.0020,15.4,11.8,-0.095,-0.240,-0.531,-0.541,9.42,1712.26,0.55%,0.0001,3.2656,0.0003,0.5117,2.5625,17.6250,342.0,7700.7
