name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor60Z-29M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.580,3.580,35.866,,,-,-,-,-,-,0.000,120.924,84.961,0.885,9.785,0.115,-0.0390,-15.9339,44.7,-,0.000,161.420,89.086,36.689,78.424,0.880,-0.0315,-1.6059,24.9,0.2,-0.649,-0.675,-0.598,-0.576,12.64,17949.44,0.07%,-15.9375,3.7812,5.2500,0.7227,16.0000,35.5000,19.8,7992.6
wor60Z-29M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.606,3.606,36.831,,,-,-,-,-,-,nan,3012.456,609.449,0.885,71.109,0.117,-0.0725,-17.0664,51.2,-,0.000,1404.026,1023.925,713.836,1003.867,0.980,-0.0208,-0.3464,25.1,-0.8,-0.614,-0.628,-0.607,-0.623,155.23,226572.73,0.07%,-17.1250,3.1875,5.3125,0.9883,17.1250,32.0000,13.1,7982.9
wor80A-57M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.387,3.387,29.582,,,-,-,-,-,-,0.807,4.495,3.938,0.893,0.207,0.052,-0.1104,-3.6016,-0.7,-,0.137,4.773,2.422,1.222,1.865,0.770,0.0368,0.1331,15.3,0.4,-0.621,-0.644,-0.711,-0.656,2.11,442.03,0.48%,-3.6094,2.7500,9.3750,0.3047,8.2500,21.8750,298.0,12918.5
wor80A-57M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.369,3.369,29.051,,,-,-,-,-,-,0.002,51.747,36.570,0.893,3.969,0.109,0.0092,2.3677,39.9,-,0.000,51.836,23.466,9.269,18.563,0.791,-0.0342,-1.8732,25.3,8.2,-0.593,-0.667,-0.666,-0.682,5.96,4441.11,0.13%,2.3594,3.6250,11.6875,0.5547,9.2500,27.3750,612.0,12894.6
wor80A-57M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,3.614,3.614,37.115,,,-,-,-,-,-,0.000,1350.422,285.147,0.893,31.755,0.111,0.1692,273.9658,42.6,-,0.000,351.676,183.497,89.659,144.418,0.787,-0.0001,-0.0427,25.5,4.8,-0.579,-0.591,-0.706,-0.655,74.39,34318.95,0.22%,274.0000,5.0000,378.0000,3.2812,274.0000,294.0000,233472.0,12888.2
wor80A-57M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.442,3.442,31.262,,,-,-,-,-,-,0.980,1.733,1.536,0.893,0.033,0.022,-0.0849,-2.3931,-9.7,-,0.335,2.475,1.299,0.522,1.114,0.857,0.0037,0.0031,5.6,-3.2,-0.609,-0.603,-0.695,-0.626,1.46,265.49,0.55%,-2.3906,2.4844,6.0938,0.1934,5.7500,18.3750,264.0,12809.6
wor80A-57M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.372,3.372,29.123,,,-,-,-,-,-,0.383,13.898,11.360,0.893,0.947,0.083,-0.0049,-0.4181,30.5,-,0.013,15.534,7.656,3.414,6.368,0.832,-0.0121,-0.1553,15.7,1.6,-0.669,-0.681,-0.728,-0.686,3.15,1504.74,0.21%,-0.4199,3.0312,11.1875,0.3945,9.3125,24.7500,460.0,12853.0
wor80A-57M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.397,3.397,29.868,,,-,-,-,-,-,0.000,194.530,100.948,0.893,10.867,0.108,0.0559,89.7254,43.3,-,0.000,158.844,89.809,42.738,79.721,0.888,0.0105,2.3026,21.4,-3.4,-0.570,-0.559,-0.626,-0.575,22.35,18479.48,0.12%,89.5000,4.2188,62.5000,1.4844,90.0000,108.5000,16064.0,12856.3
wor80A-57M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,6.050,6.050,423.930,,,-,-,-,-,-,0.000,2419.036,630.541,0.893,64.127,0.102,0.4772,1852.6667,52.5,-,0.000,730.704,449.563,315.394,359.240,0.799,-0.0731,-50.6623,22.6,6.1,-0.454,-0.489,-0.630,-0.607,118.41,82487.25,0.14%,1856.0000,6.0312,346.0000,2.4531,1856.0000,1880.0000,3653632.0,12781.8
wor80E-57M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.386,3.386,29.559,,,-,-,-,-,-,0.808,4.495,3.938,0.893,0.206,0.052,-0.4317,-3.7612,9.1,-,0.000,27.005,2.262,0.785,0.376,0.166,0.0538,0.2563,12.8,5.3,-0.499,-0.375,0.303,-0.252,2.36,824.75,0.29%,-3.7656,2.7031,3.9844,0.8516,5.0625,23.2500,215.0,12972.9
wor80E-57M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.368,3.368,29.024,,,-,-,-,-,-,0.002,50.980,36.733,0.893,4.014,0.109,-0.4138,-0.4418,33.1,-,0.000,28.530,12.626,6.321,0.184,0.015,-0.0327,-0.7594,24.5,20.4,-0.331,-0.164,0.020,-0.071,10.15,1128.88,0.90%,-0.4414,2.9375,0.5781,0.5117,2.3281,18.5000,322.0,12987.6
wor80E-57M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.402,3.402,30.026,,,-,-,-,-,-,0.000,1164.563,286.108,0.893,31.652,0.111,-0.9459,-0.2223,40.0,-,0.000,190.409,91.045,36.075,0.136,0.001,-0.0230,-1.2534,27.9,26.2,0.213,0.103,-0.116,-0.017,35.18,4874.57,0.72%,-0.2227,2.7812,0.6758,1.5781,2.2031,17.3750,384.0,12934.1
wor80E-57M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.442,3.442,31.241,,,-,-,-,-,-,0.977,1.717,1.536,0.893,0.033,0.022,-0.3380,-3.5413,-12.2,-,0.000,13.862,1.119,0.449,0.385,0.344,-0.0236,-0.0215,15.3,3.5,-0.486,-0.276,0.190,-0.281,1.59,420.75,0.38%,-3.5469,2.3438,4.2188,0.4082,4.9688,16.5000,206.0,12955.6
wor80E-57M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.368,3.368,29.024,,,-,-,-,-,-,0.193,13.768,11.346,0.893,0.929,0.082,-0.5855,-2.9471,24.8,-,0.286,27.104,4.434,2.205,0.296,0.067,-0.0122,-0.1929,27.2,23.8,-0.495,-0.307,0.274,0.005,4.03,871.45,0.46%,-2.9375,3.2344,1.6250,0.8945,3.7656,21.3750,245.0,12905.0
wor80E-57M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.372,3.372,29.140,,,-,-,-,-,-,0.000,189.368,100.830,0.893,11.294,0.112,-0.8079,-0.8256,42.6,-,0.000,58.593,29.091,14.768,0.224,0.008,0.0759,3.9186,32.5,29.3,0.113,0.064,0.040,0.042,6.03,1224.83,0.49%,-0.8242,2.9531,2.8750,0.7422,3.2969,19.2500,330.0,12918.1
wor80E-57M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.467,3.467,32.051,,,-,-,-,-,-,0.000,1239.704,499.192,0.893,61.568,0.123,-0.9173,-0.0115,50.3,-,0.000,439.529,213.913,114.217,0.032,0.000,-0.0520,-1.2545,24.2,22.1,0.094,-0.015,-0.009,0.074,102.42,15264.27,0.67%,-0.0115,2.7812,0.0249,1.3516,2.1250,17.3750,366.0,12852.0
wor80R-57M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.387,3.387,29.583,,,-,-,-,-,-,0.803,4.518,3.938,0.893,0.205,0.052,-0.0149,-0.0000,13.8,-,0.596,5.376,1.782,0.748,0.000,0.000,-0.0713,-0.3213,12.9,8.9,-0.057,-0.118,-0.594,-0.580,1.46,248.59,0.59%,0.0000,2.9375,0.0001,0.3242,2.2812,17.0000,324.0,12954.0
wor80R-57M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.366,3.366,28.959,,,-,-,-,-,-,0.000,52.026,36.782,0.893,4.081,0.111,0.0650,0.0000,42.9,-,0.000,48.847,17.235,8.262,0.000,0.000,-0.0171,-0.4614,20.9,16.7,-0.155,-0.309,-0.236,-0.119,9.14,2322.69,0.39%,0.0001,3.4062,0.0002,0.5312,2.6562,18.3750,366.0,12934.0
wor80R-57M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.397,3.397,29.868,,,-,-,-,-,-,0.000,1375.244,286.703,0.893,30.458,0.106,-0.1701,-0.0000,46.9,-,0.000,255.641,117.821,56.461,0.000,0.000,-0.0398,-1.5955,19.4,16.3,-0.021,-0.070,0.628,0.561,28.15,14651.30,0.19%,0.0005,3.3906,0.0005,1.9766,2.6250,19.5000,424.0,12874.7
wor80R-57M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.443,3.443,31.296,,,-,-,-,-,-,0.976,1.740,1.535,0.893,0.033,0.022,-0.0484,-0.0000,-2.6,-,0.896,2.719,0.739,0.353,0.000,0.000,0.0488,0.0390,9.0,4.0,0.138,0.049,-0.312,-0.320,1.52,106.01,1.44%,0.0000,2.5000,0.0000,0.2080,1.9375,15.9375,298.0,12919.5
wor80R-57M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.368,3.368,29.014,,,-,-,-,-,-,0.207,13.887,11.355,0.893,0.913,0.080,0.1036,0.0000,19.6,-,0.076,14.336,4.826,2.248,0.000,0.000,0.0507,0.5909,22.6,18.1,-0.044,-0.159,-0.298,-0.337,3.02,563.23,0.54%,0.0002,3.4219,0.0003,0.4277,2.6562,20.0000,350.0,12905.8
wor80R-57M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.379,3.379,29.328,,,-,-,-,-,-,0.000,206.160,96.546,0.893,10.967,0.114,0.0258,0.0000,41.8,-,0.000,94.923,43.478,18.068,0.000,0.000,0.0051,0.3674,13.8,8.8,-0.054,-0.161,0.178,0.108,9.60,6231.46,0.15%,0.0005,3.3125,0.0011,0.7109,2.5625,18.2500,364.0,12944.1
wor80R-57M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.466,3.466,32.003,,,-,-,-,-,-,0.000,1423.581,583.270,0.893,98.671,0.169,-0.2604,-0.0000,52.5,-,0.000,575.508,271.372,134.272,0.000,0.000,-0.1300,-4.2870,13.5,6.7,0.028,-0.030,0.588,0.583,141.62,35725.38,0.40%,-0.0001,3.0312,0.0003,1.2266,2.3594,17.6250,368.0,12874.6
wor80Z-57M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.385,3.385,29.513,,,-,-,-,-,-,0.801,4.500,3.940,0.893,0.214,0.054,-0.1985,-14.7252,16.2,-,0.028,8.030,3.612,1.583,3.021,0.836,0.0368,0.1938,21.4,9.0,-0.597,-0.630,-0.572,-0.556,2.68,702.03,0.38%,-14.7500,3.6406,3.9062,0.5273,14.7500,35.2500,19.9,13148.1
wor80Z-57M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.366,3.366,28.961,,,-,-,-,-,-,0.000,51.205,36.749,0.893,4.031,0.110,-0.0397,-15.6443,33.8,-,0.000,53.553,30.617,13.691,27.076,0.884,-0.0066,-0.3894,28.0,-6.2,-0.628,-0.611,-0.604,-0.558,7.09,6201.09,0.11%,-15.6875,3.9375,4.9062,0.7656,15.6875,36.2500,20.4,13158.5
wor80Z-57M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.452,3.452,31.560,,,-,-,-,-,-,0.000,1331.578,265.394,0.893,30.041,0.113,-0.0053,-19.9937,37.1,-,0.000,496.374,345.916,211.585,328.517,0.950,0.0118,4.0551,20.3,-6.6,-0.257,-0.246,-0.247,-0.218,28.86,74760.16,0.04%,-20.0000,5.5625,5.8438,2.1094,20.0000,68.0000,8.8,13172.0
wor80Z-57M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.442,3.442,31.241,,,-,-,-,-,-,0.980,1.728,1.536,0.893,0.033,0.022,-0.2794,-13.6764,-7.9,-,0.181,3.344,1.740,0.744,1.588,0.913,0.0025,0.0026,7.9,1.1,-0.561,-0.554,-0.611,-0.571,1.54,369.72,0.42%,-13.6875,3.1250,3.9375,0.3379,13.6875,29.0000,23.8,13217.5
wor80Z-57M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.367,3.367,28.988,,,-,-,-,-,-,0.344,13.834,11.362,0.893,0.931,0.082,-0.0973,-16.3958,31.8,-,0.000,18.113,9.478,4.263,8.299,0.876,-0.0263,-0.4978,18.7,1.7,-0.629,-0.680,-0.626,-0.650,3.72,1919.93,0.19%,-16.3750,3.9062,3.7031,0.5391,16.3750,37.7500,12.3,13187.9
wor80Z-57M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.382,3.382,29.419,,,-,-,-,-,-,0.000,228.539,98.943,0.893,10.544,0.107,-0.0146,-16.8964,43.8,-,0.000,174.814,87.095,40.699,78.176,0.898,-0.0202,-3.1626,23.1,-1.3,-0.385,-0.364,-0.374,-0.343,6.96,18220.32,0.04%,-16.8750,4.3750,5.7812,1.1250,16.8750,41.2500,15.9,13206.4
wor80Z-57M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,4.578,4.578,97.291,,,-,-,-,-,-,0.000,1334.530,488.958,0.893,74.267,0.152,-0.0013,-29.0522,47.3,-,0.000,1462.411,1080.335,521.141,1042.816,0.965,0.0106,16.9239,30.1,10.2,-0.619,-0.598,-0.622,-0.602,106.98,236067.72,0.05%,-29.1250,37.7500,11.6875,28.3750,29.1250,346.0000,23.4,13116.7
worA0A-109M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.211,3.211,24.801,,,-,-,-,-,-,0.785,5.164,4.469,0.920,0.246,0.055,-0.0253,-1.2566,15.3,-,0.068,6.771,3.149,1.434,2.400,0.762,-0.0020,-0.0103,20.1,7.7,-0.669,-0.721,-0.766,-0.741,1.52,564.70,0.27%,-1.2578,2.6719,6.3438,0.2598,5.3125,19.7500,322.0,20562.4
worA0A-109M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.208,3.208,24.727,,,-,-,-,-,-,0.003,61.863,41.411,0.920,4.181,0.101,0.0557,11.7094,35.0,-,0.000,48.668,27.636,13.015,19.849,0.718,0.0285,1.2641,19.3,12.2,-0.585,-0.611,-0.579,-0.533,7.38,4790.13,0.15%,11.6875,3.3125,11.1875,0.5195,14.0000,31.2500,1088.0,20523.6
worA0A-109M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,3.344,3.344,28.337,,,-,-,-,-,-,0.000,1717.971,300.725,0.920,24.467,0.081,0.2820,251.6746,40.5,-,0.000,384.382,216.467,135.037,146.293,0.676,-0.0138,-2.0656,27.6,7.3,-0.426,-0.426,-0.593,-0.552,109.97,34909.20,0.32%,252.0000,4.0312,118.5000,1.1172,252.0000,270.0000,88064.0,20462.4
worA0A-109M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.261,3.261,26.088,,,-,-,-,-,-,0.969,1.855,1.669,0.920,0.036,0.021,-0.1137,-3.7670,1.8,-,0.283,2.650,1.413,0.554,1.167,0.826,-0.0251,-0.0255,14.3,2.1,-0.644,-0.648,-0.724,-0.660,1.31,275.79,0.47%,-3.7656,2.4219,3.5938,0.1748,4.8125,16.2500,200.0,20677.4
worA0A-109M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.202,3.202,24.576,,,-,-,-,-,-,0.114,15.966,12.911,0.920,1.076,0.083,-0.0257,-2.3584,23.1,-,0.005,22.495,10.003,3.883,8.126,0.812,-0.0420,-0.5096,16.8,-0.5,-0.558,-0.577,-0.606,-0.579,3.16,1945.02,0.16%,-2.3594,3.0469,4.6250,0.3672,4.8125,20.3750,286.0,20568.0
worA0A-109M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.230,3.230,25.282,,,-,-,-,-,-,0.000,309.277,111.926,0.920,9.882,0.088,0.1057,51.0537,43.3,-,0.000,160.531,90.988,40.681,72.207,0.794,-0.0140,-0.9247,20.1,10.9,-0.565,-0.595,-0.625,-0.602,11.50,16990.74,0.07%,51.0000,3.4688,19.3750,0.7383,51.5000,69.5000,5280.0,20666.5
worA0A-109M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,5.023,5.023,151.851,,,-,-,-,-,-,0.000,1470.459,509.897,0.920,63.550,0.125,0.2296,1448.8210,55.7,-,0.000,929.391,582.353,313.827,467.200,0.802,-0.0164,-14.0851,28.8,5.4,-0.479,-0.494,-0.569,-0.547,131.56,109355.69,0.12%,1448.0000,5.3438,628.0000,1.7422,1448.0000,1472.0000,2572288.0,20461.6
worA0E-109M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.212,3.212,24.834,,,-,-,-,-,-,0.747,5.204,4.472,0.920,0.253,0.057,-0.3048,-2.7567,16.8,-,0.000,24.896,2.466,0.984,0.360,0.146,-0.0624,-0.3956,18.9,10.8,-0.491,-0.346,0.249,-0.318,2.08,764.28,0.27%,-2.7500,2.4375,3.2188,0.4688,3.9219,16.8750,236.0,20621.5
worA0E-109M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.207,3.207,24.709,,,-,-,-,-,-,0.000,58.360,41.477,0.920,4.075,0.098,-0.8652,-2.4601,31.6,-,0.000,100.732,22.897,8.479,0.304,0.013,0.0748,2.8483,21.1,17.9,-0.560,-0.459,-0.515,-0.337,6.97,4267.61,0.16%,-2.4531,2.7969,1.2656,0.4219,3.2500,16.7500,258.0,20638.2
worA0E-109M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.281,3.281,26.591,,,-,-,-,-,-,0.000,503.400,237.914,0.920,34.462,0.145,-0.3709,-0.0128,49.4,-,0.000,276.595,124.642,39.818,0.050,0.000,0.0466,1.1192,32.7,29.2,0.232,0.085,0.027,0.072,34.33,4885.13,0.70%,-0.0129,2.6406,0.1050,0.9023,2.0000,17.3750,344.0,20857.8
worA0E-109M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.261,3.261,26.081,,,-,-,-,-,-,0.972,1.852,1.669,0.920,0.036,0.022,-0.3867,-4.1032,4.7,-,0.632,17.063,1.302,0.470,0.353,0.271,-0.0247,-0.0271,20.0,12.6,-0.486,-0.305,0.312,-0.262,1.49,508.67,0.29%,-4.0938,2.3281,3.7188,0.3047,5.0625,17.8750,190.0,20627.2
worA0E-109M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.200,3.200,24.532,,,-,-,-,-,-,0.409,16.183,12.898,0.920,1.106,0.086,-0.7588,-5.8448,32.4,-,0.000,29.952,5.761,2.679,0.390,0.068,0.0078,0.1709,35.0,33.2,-0.482,-0.269,0.163,-0.128,2.83,974.41,0.29%,-5.8438,2.5938,3.7344,0.5508,6.2500,18.5000,170.0,20704.6
worA0E-109M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.222,3.222,25.070,,,-,-,-,-,-,0.000,285.842,114.441,0.920,10.271,0.090,-0.8218,-0.3233,39.6,-,0.000,191.192,52.208,24.675,0.152,0.003,0.0235,0.6252,26.2,22.2,-0.495,-0.307,0.271,0.109,22.99,7777.44,0.30%,-0.3242,2.7969,0.9648,0.5664,2.3281,17.5000,336.0,20618.0
worA0E-109M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.304,3.304,27.220,,,-,-,-,-,-,0.000,1444.807,509.955,0.920,84.313,0.165,-0.9506,-0.0109,50.7,-,0.000,521.242,263.686,121.256,0.026,0.000,-0.0057,-0.2123,29.6,27.0,0.238,0.097,-0.276,-0.158,122.82,12804.06,0.96%,-0.0109,2.5781,0.0135,0.5156,1.9766,16.8750,330.0,20521.6
worA0R-109M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.213,3.213,24.851,,,-,-,-,-,-,0.777,5.160,4.470,0.920,0.248,0.055,-0.0468,-0.0000,20.6,-,0.417,5.999,2.242,1.121,0.000,0.000,0.0207,0.0958,14.3,12.7,-0.065,-0.171,-0.658,-0.645,1.76,280.31,0.63%,0.0000,2.7656,0.0001,0.2773,2.1562,16.8750,324.0,20604.2
worA0R-109M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.207,3.207,24.712,,,-,-,-,-,-,0.001,58.963,41.520,0.920,4.095,0.099,-0.0288,-0.0000,37.7,-,0.000,54.431,22.236,11.498,0.000,0.000,-0.0550,-1.0090,26.7,23.9,-0.282,-0.432,-0.625,-0.584,5.77,3139.86,0.18%,0.0000,3.1875,0.0002,0.4355,2.5000,18.1250,356.0,20645.8
worA0R-109M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.257,3.257,25.984,,,-,-,-,-,-,0.000,1691.812,308.948,0.920,28.428,0.092,-0.3088,-0.0000,45.3,-,0.000,279.184,150.675,76.020,0.000,0.000,0.0247,0.4798,25.5,24.7,-0.058,-0.105,0.528,0.439,64.11,15415.44,0.42%,-0.0000,3.0000,0.0001,0.9141,2.3281,17.8750,362.0,20499.2
worA0R-109M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.262,3.262,26.099,,,-,-,-,-,-,0.973,1.853,1.669,0.920,0.036,0.022,0.0223,0.0000,6.0,-,0.872,2.947,0.898,0.403,0.000,0.000,0.0074,0.0069,22.9,19.1,0.150,-0.059,-0.054,-0.063,1.35,119.62,1.13%,0.0000,2.4688,0.0001,0.1943,1.9219,16.1250,306.0,20702.3
worA0R-109M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.201,3.201,24.556,,,-,-,-,-,-,0.369,16.169,12.914,0.920,1.099,0.085,0.0566,0.0000,31.3,-,0.001,22.126,6.446,3.047,0.000,0.000,0.0359,0.3603,19.2,15.3,-0.087,-0.144,-0.430,-0.393,3.94,777.59,0.51%,0.0002,3.2188,0.0005,0.3945,2.4844,20.0000,348.0,20630.8
worA0R-109M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.226,3.226,25.191,,,-,-,-,-,-,0.000,281.636,108.248,0.920,9.913,0.092,-0.1392,-0.0000,42.0,-,0.000,114.603,55.963,27.189,0.000,0.000,-0.0494,-0.8112,25.4,23.7,-0.011,-0.140,0.123,0.126,15.26,7179.72,0.21%,-0.0001,3.0938,0.0004,0.6641,2.4062,18.0000,47.6,20669.4
worA0R-109M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.347,3.347,28.424,,,-,-,-,-,-,0.000,1479.077,508.869,0.920,77.138,0.152,-0.3193,-0.0000,56.9,-,0.000,673.108,337.828,158.466,0.000,0.000,-0.0057,-0.1167,18.0,15.5,0.068,-0.003,0.636,0.625,128.51,38010.28,0.34%,-0.0000,2.8438,0.0002,0.4570,2.2031,17.2500,340.0,20694.8
worA0Z-109M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.211,3.211,24.815,,,-,-,-,-,-,0.758,5.175,4.470,0.920,0.252,0.056,-0.1447,-14.5588,19.9,-,0.018,7.486,4.213,1.981,3.652,0.867,-0.0264,-0.1835,19.8,9.9,-0.609,-0.632,-0.616,-0.593,2.16,838.06,0.26%,-14.5625,3.3281,4.3750,0.4492,14.5625,31.7500,22.9,20901.5
worA0Z-109M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.204,3.204,24.630,,,-,-,-,-,-,0.000,61.344,41.480,0.920,4.323,0.104,-0.0488,-16.2218,27.2,-,0.000,61.819,38.320,17.525,33.078,0.863,-0.0036,-0.1582,29.6,12.7,-0.621,-0.648,-0.632,-0.631,8.09,7525.71,0.11%,-16.2500,4.1562,4.6562,0.8203,16.2500,39.0000,17.6,20931.7
worA0Z-109M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.279,3.279,26.537,,,-,-,-,-,-,0.000,1682.612,297.039,0.920,25.159,0.085,-0.0077,-19.3183,42.9,-,0.000,608.132,415.758,262.591,388.770,0.935,-0.0412,-6.6568,32.6,-1.3,-0.467,-0.473,-0.475,-0.476,44.42,88422.37,0.05%,-19.3750,7.0312,5.5000,5.4375,19.3750,66.5000,7.2,20858.5
worA0Z-109M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.261,3.261,26.071,,,-,-,-,-,-,0.977,1.857,1.669,0.920,0.036,0.022,-0.1955,-13.6936,-1.5,-,0.176,3.427,2.006,0.861,1.799,0.897,-0.0734,-0.1028,17.9,4.1,-0.622,-0.609,-0.651,-0.591,1.75,414.24,0.42%,-13.6875,2.9531,4.1562,0.2598,13.6875,28.5000,25.1,20948.1
worA0Z-109M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.202,3.202,24.582,,,-,-,-,-,-,0.195,16.078,12.915,0.920,1.093,0.085,-0.0858,-15.6767,29.4,-,0.000,19.204,10.638,5.294,8.968,0.843,-0.0170,-0.3786,29.9,15.3,-0.596,-0.602,-0.648,-0.604,4.40,2055.89,0.21%,-15.6875,3.7031,4.5312,0.6406,15.6875,35.5000,18.9,20793.6
worA0Z-109M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.230,3.230,25.280,,,-,-,-,-,-,0.000,269.437,108.978,0.920,9.815,0.090,-0.0322,-17.3818,34.9,-,0.000,175.503,107.025,56.516,92.860,0.868,-0.0584,-3.3385,24.3,9.6,-0.372,-0.387,-0.342,-0.342,10.84,21355.54,0.05%,-17.3750,3.9844,4.7188,0.8594,17.3750,38.7500,9.6,20898.6
worA0Z-109M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.735,3.735,41.890,,,-,-,-,-,-,0.000,1599.110,498.697,0.920,81.656,0.164,-0.0019,-21.4225,54.1,-,0.000,1464.584,1106.428,514.571,1045.537,0.945,0.0270,23.9816,34.0,0.3,-0.652,-0.628,-0.669,-0.647,105.26,236153.45,0.04%,-21.7500,10.7500,7.8750,11.4375,21.7500,123.5000,15.1,20825.4
worC0A-221M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.050,3.050,21.123,,,-,-,-,-,-,0.715,6.141,5.019,0.931,0.323,0.064,-0.0276,-1.4598,12.6,-,0.052,7.647,3.339,1.607,2.337,0.700,0.0566,0.4150,12.2,10.9,-0.566,-0.645,-0.670,-0.676,1.88,569.71,0.33%,-1.4609,2.7656,4.5938,0.2910,4.3750,19.2500,304.0,39602.2
worC0A-221M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.076,3.076,21.669,,,-,-,-,-,-,0.000,69.944,45.187,0.931,4.069,0.090,-0.0068,-1.1257,25.9,-,0.000,50.284,29.115,14.236,20.019,0.688,-0.0236,-0.7961,21.2,10.7,-0.665,-0.730,-0.785,-0.779,6.54,4717.80,0.14%,-1.1250,3.2812,6.3438,0.5195,5.7188,21.7500,376.0,39917.7
worC0A-221M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,3.305,3.305,27.251,,,-,-,-,-,-,0.000,543.790,259.528,0.931,35.766,0.138,0.1237,349.7912,51.5,-,0.000,480.000,279.524,127.855,209.223,0.748,-0.0117,-5.6628,16.6,-5.1,-0.428,-0.432,-0.507,-0.478,92.96,50337.34,0.18%,350.0000,6.8125,350.0000,4.8750,350.0000,370.0000,262144.0,39681.7
